"Observed Journey ID","Observed Journey","Canonical Journey ID","Canonical Journey","Classification","Variation Dimensions","Evidence","Confidence","Notes","Implementation Maturity"
"2.4","Inspect the active policy state","CJ01","establish_trusted_cell_context","specialization","subject=policy snapshot; assurance=digest and reload state; interface=inspection",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §2.4; .agents/specs/spec-minimum.md §8 Configuration and Input Contract; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method policy.get_active; crates/sea-forge-server/tests/conformance_lifecycle.rs","high","Policy identity is another trusted-context foundation; the cataloged Workbench inspect method is not implemented.","implemented"
"2.5","Preview authority requirements","CJ02","discover_lawful_affordances","specialization","work source=proposed case; subject=authority burden; next decision=commit or revise",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §2.5; .agents/specs/spec-full.md §10.0 Authority fabric; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method authority.preflight; crates/sea-forge-server/tests/conformance_case_authoring.rs","high","Authority preview answers whether a proposed path is lawfully spendable before commitment.","exercised"
"2.6","Understand denial or escalation","CJ02","discover_lawful_affordances","variant","authority outcome=deny or escalate; evidence=reason and policy refs; recovery path=next lawful step",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §2.6; .agents/specs/spec-minimum.md §10.2 Authority Gating; crates/sea-forge-server/tests/conformance_case_episode.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 2","high","Denial and escalation are outcome variants of lawful-affordance discovery rather than generic execution errors.","evidenced"
"2.7","Preserve exact authorized configuration","CJ09","evaluate_settle_and_audit_outcomes","specialization","artifact=configuration snapshots and digests; assurance=immutable binding; actor=auditor",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §2.7; .agents/specs/spec-full.md §10.0 Authority fabric; crates/sea-forge-server/src/sfwp/run_views.rs AuthorityProjection; crates/sea-forge-server/tests/conformance_run_views.rs","high","Immutable configuration binding is audit evidence used to evaluate what was actually authorized.","exercised"
"3.1","Ask about SEA Forge identity and architecture","CJ02","discover_lawful_affordances","composition","interface=Thoth; subject=identity and architecture; actor=operator or external agent",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.1; .agents/specs/spec-adlc-thoth-minimum.md §9.1 Thoth question flow; crates/sea-forge-server/src/sfwp/mod.rs method thoth.ask; crates/sea-forge-server/tests/conformance_m11_ask.rs","high","Thoth projects trusted self-model context into discovery; it does not define a separate canonical grammar.","exercised"
"3.2","Ask about a capability","CJ02","discover_lawful_affordances","specialization","interface=Thoth; subject=capability standing; assurance=declared through demonstrated",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.2; .agents/specs/spec-adlc-thoth-minimum.md §10.2 Claim derivation; crates/sea-forge-thoth/tests/conformance_m11_service.rs","high","Capability questions specialize discovery by requiring evidence-calibrated status distinctions.","exercised"
"3.3","Ask what an operation requires","CJ02","discover_lawful_affordances","specialization","interface=Thoth; subject=operation contract; next decision=form a path",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.3; .agents/specs/spec-adlc-thoth-minimum.md §7.4 ThothQuestion / ThothAnswer; crates/sea-forge-thoth/tests/conformance_m11_service.rs","high","This is a question-shaped specialization of discovering a spendable operation.","exercised"
"3.4","Ask what authority an operation requires","CJ02","discover_lawful_affordances","specialization","interface=Thoth; subject=authority surfaces; next decision=request or choose another path",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.4; .agents/specs/spec-adlc-thoth-minimum.md §7.4 ThothQuestion / ThothAnswer; crates/sea-forge-server/tests/conformance_m11_ask.rs","high","The subject changes from operation inputs to authority requirements while the discovery tuple remains stable.","exercised"
"3.5","Ask about projection and environment support","CJ02","discover_lawful_affordances","specialization","interface=Thoth; subject=projection or environment; provider=adapter or toolchain",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.5; .agents/specs/spec-adlc-thoth-minimum.md §10.2 Claim derivation; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml methods projection.preview and environment.list","medium","The intent is stable discovery; current support is specified across catalogs but not exposed as one implemented query kind.","specified"
"3.6","Ask for current affordances","CJ02","discover_lawful_affordances","canonical","interface=Thoth; subject=visible reachable permitted settleable actions; context=current actor and cell",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.6; docs/superpowers/specs/2026-08-03-sea-forge-interaction-model-design.md Canonical Journey Set item 2; .agents/specs/spec-adlc-thoth-minimum.md §10.2 Claim derivation","high","The tuple directly names the canonical intention: discover what can lawfully be done now.","specified"
"3.7","Ask why something failed or was denied","CJ09","evaluate_settle_and_audit_outcomes","composition","interface=Thoth; initiating condition=recorded failure or denial; evidence=authority trace settlement",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.7; .agents/specs/spec-adlc-thoth-minimum.md §7.4 ThothQuestion / ThothAnswer; crates/sea-forge-thoth/tests/conformance_m11_service.rs","high","Explanation composes Thoth's interface projection with the audit journey over committed episode evidence.","exercised"
"3.8","Ask for the evidence behind a claim","CJ09","evaluate_settle_and_audit_outcomes","specialization","interface=Thoth; subject=claim provenance; evidence=snapshot settlement and capability refs",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.8; .agents/specs/spec-adlc-thoth-minimum.md §5 Evidence and Claim Discipline; crates/sea-forge-thoth/tests/conformance_m11_service.rs","high","The completion condition is independent verification of a claim, which belongs to audit.","exercised"
"3.9","Receive a bounded and reproducible answer","CJ02","discover_lawful_affordances","variant","interface=Thoth; authority outcome=disclosed denied or partial; assurance=freshness and limitations",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §3.9; crates/sea-forge-server/src/sfwp/thoth.rs ThothAnswerView; crates/sea-forge-server/tests/conformance_m11_ask.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6b","high","This is the disclosure-controlled answer variant of discovery and explicitly confers no execution authority.","evidenced"
"4.1","Browse plan templates","CJ02","discover_lawful_affordances","specialization","subject=plan templates; source=built-in local imported adopted; interface=asset catalog",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.1; .agents/specs/spec-full.md §7.6 PlanTemplate; crates/sea-forge-server/src/sfwp/mod.rs method asset.list; crates/sea-forge-server/tests/conformance_assets.rs; workbench/apps/desktop/src/router.tsx route /assets","high","Template browsing specializes discovery by asset kind and provenance.","exercised"
"4.2","Browse ADLC, ODI, and orchestration templates","CJ02","discover_lawful_affordances","variant","subject=methodology and topology templates; work source=ADLC ODI sequential concurrent",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.2; .agents/specs/spec-adlc-thoth-minimum.md §10.4 ADLC/ODI templates; .agents/specs/spec-agent-orchestration.md §10.3 Topologies and Manager Loop; crates/sea-forge-planner/tests/conformance_m14.rs","high","Template family varies while discovery intent and next decision remain the same.","exercised"
"4.3","Browse environment contracts","CJ02","discover_lawful_affordances","specialization","subject=environment contract; assurance=validation and compatibility; boundary=environment versus sandbox",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.3; .agents/specs/spec-full.md §7.6 PlanTemplate / EnvironmentSpec / Evaluator; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml methods environment.list and environment.get","high","The environment catalog is specified but has no implemented SFWP method in IMPLEMENTED_METHODS.","specified"
"4.4","Browse extensions and projection adapters","CJ02","discover_lawful_affordances","specialization","subject=extensions and adapters; lifecycle stage=active disabled incompatible quarantined",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.4; .agents/specs/spec-full.md §7.0b Extension and projection ABI; crates/sea-forge-server/src/sfwp/assets.rs; crates/sea-forge-server/tests/conformance_assets.rs","high","The implemented asset projection covers extensions; adapter-detail inspection remains cataloged rather than surfaced.","implemented"
"4.5","Browse agent endpoints","CJ02","discover_lawful_affordances","specialization","subject=agent endpoints; provider=HTTP or ACP; assurance=evidence-derived standing",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.5; .agents/specs/spec-agent-orchestration.md §7.1 AgentEndpoint; crates/sea-forge-server/src/sfwp/mod.rs method asset.list; crates/sea-forge-server/tests/conformance_assets.rs","high","Endpoint browsing uses the same discovery journey with provider and standing variations.","exercised"
"4.6","Probe an endpoint","CJ02","discover_lawful_affordances","composition","subject=endpoint; capability=authority-gated probe; evidence=latency compatibility typed failure",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.6; .agents/specs/spec-agent-orchestration.md §10.1 Authority and Isolation; crates/sea-forge-server/tests/conformance_m12.rs","high","The probe composes governed execution with discovery because its outcome establishes availability evidence.","exercised"
"4.7","Browse demonstrated capabilities","CJ10","reuse_demonstrated_knowledge_and_capability","composition","subject=capability records; evidence=qualifying settlements; next decision=routing",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.7; .agents/specs/spec-full.md §7.3 CapabilityRecord; crates/sea-forge-capability/tests/conformance_m4a.rs; workbench/apps/desktop/src/router.tsx route /capabilities","high","Although entered through discovery, the artifact and next decision are the evidence-backed reuse semantics of CJ10.","exercised"
"4.8","See why an asset is not usable","CJ02","discover_lawful_affordances","specialization","authority outcome=unusable; evidence=blocking reasons; recovery path=repair dependency policy or probe",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §4.8; crates/sea-forge-server/src/sfwp/assets.rs AssetRow; crates/sea-forge-server/tests/conformance_assets.rs; workbench/apps/desktop/src/pages/AssetCatalogPage.test.tsx","high","This makes unavailable affordances explicit without collapsing absent unproven and refused states.","exercised"
"5.1","Select or supply a `.sea` source set","CJ03","ground_work_in_semantic_meaning","canonical","actor=domain or plan author; artifact=.sea sources and imports; entry point=select or supply",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §5.1; .agents/specs/spec-full.md §7.0a DomainForge semantic boundary; crates/sea-forge-domainforge/tests/conformance_m0_domainforge.rs","high","This is the canonical entry condition for giving governed work explicit semantic meaning.","exercised"
"5.2","Validate syntax, imports, and semantics","CJ03","ground_work_in_semantic_meaning","specialization","artifact=.sea model; failure layer=syntax import identity policy relation; completion=validated model",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §5.2; .agents/specs/spec-full.md §10.4a DomainForge semantic integration; crates/sea-forge-domainforge/tests/conformance_m0_domainforge.rs","high","Validation is a required state transition inside semantic grounding.","exercised"
"5.3","Inspect the validated domain model","CJ03","ground_work_in_semantic_meaning","specialization","interface=model view; subject=namespace concepts policies mappings; assurance=source hashes",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §5.3; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method domain_model.get; workbench/apps/desktop/src/router.tsx route /models; docs/execution/REPOSITORY_TRUTH.md §7 Frontend state","high","The model view is specified but the current /models surface is explicitly preview-only.","specified"
"5.4","Pin the model to a plan","CJ03","ground_work_in_semantic_meaning","composition","artifact=DomainModelRef; work source=case plan; assurance=source and adapter digests",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §5.4; .agents/specs/spec-full.md §7.0a DomainForge semantic boundary; crates/sea-forge-planner/tests/conformance_m2.rs","high","This composes semantic grounding with case formation while the primary state change is a reproducible semantic binding.","exercised"
"5.5","Validate every semantic reference","CJ03","ground_work_in_semantic_meaning","specialization","subject=plan item criterion outcome environment projection refs; failure=unresolved meaning",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §5.5; .agents/specs/spec-minimum.md §10.1 Planning and Domain Interpretation; crates/sea-forge-planner/tests/criteria_provenance.rs","high","Reference resolution completes semantic grounding before authority or activation.","exercised"
"5.6","Detect and respond to model drift","CJ03","ground_work_in_semantic_meaning","variant","initiating condition=source drift; authority outcome=block reuse; recovery path=revalidate or replan",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §5.6; .agents/specs/spec-full.md §10.4a DomainForge semantic integration; crates/sea-forge-core/tests/version_skew.rs","high","Drift is the recovery variant of maintaining a pinned semantic world.","exercised"
"5.7","Project and verify the model","CJ03","ground_work_in_semantic_meaning","composition","capability=projection; artifact=hash-linked derived model; recovery path=quarantine invalid output",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §5.7; .agents/specs/spec-full.md §10.4a DomainForge semantic integration and projection; crates/sea-forge-domainforge/tests/projection.rs; crates/sea-forge-spec-pipeline/tests/conformance_m5.rs","high","The source remains semantic grounding while projection and quarantine compose CJ11 transformation semantics.","exercised"
"6.1","Start from a known intent","CJ04","form_and_commit_governed_case","canonical","work source=intent; actor=operator; plan derivation=deterministic",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.1; .agents/specs/spec-minimum.md §7.3.1 Intent and §7.3.2 CasePlan; crates/sea-forge-cli/tests/lifecycle.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 3","high","This is the lowest-burden canonical entry from intention to governed case.","evidenced"
"6.2","Start from a versioned template","CJ04","form_and_commit_governed_case","variant","work source=versioned template; parameters=typed; artifact=instantiated CasePlan",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.2; .agents/specs/spec-full.md §7.6 PlanTemplate; crates/sea-forge-server/src/sfwp/mod.rs methods case.entry_options case.preflight case.commit; crates/sea-forge-server/tests/conformance_case_authoring.rs","high","Template instantiation varies the work source without changing case formation semantics.","exercised"
"6.3","Start from an external plan proposal","CJ04","form_and_commit_governed_case","variant","work source=external untrusted proposal; actor=operator or external agent; authority=none implicit",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.3; .agents/specs/spec-full.md §8.6 Plan-proposal input; crates/sea-forge-server/tests/conformance_case_episode.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 2","high","The untrusted proposal is another entry-source variant admitted through the same governance path.","evidenced"
"6.4","Start an ADLC or ODI-grounded development case","CJ04","form_and_commit_governed_case","specialization","work source=ADLC or ODI template; lifecycle stage=development loop; evidence=outcome provenance",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.4; .agents/specs/spec-adlc-thoth-minimum.md §10.4 ADLC/ODI templates; crates/sea-forge-planner/tests/conformance_m10.rs","high","Methodology grounding specializes the plan shape and provenance but still produces an ordinary governed case.","exercised"
"6.5","Start a multi-agent topology","CJ04","form_and_commit_governed_case","specialization","work source=topology template; topology=sequential or concurrent; completion=explicit rollup plan",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.5; .agents/specs/spec-agent-orchestration.md §10.3 Topologies and Manager Loop; crates/sea-forge-planner/tests/conformance_m14.rs; crates/sea-forge-server/tests/conformance_topology.rs","high","Topology changes the internal case structure rather than canonical journey identity.","exercised"
"6.6","Start a governed spec-to-code pipeline","CJ04","form_and_commit_governed_case","composition","work source=specification pipeline; artifact=multi-stage CasePlan; lifecycle stage=ADR through acceptance",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.6; .agents/specs/spec-full.md §10.7 Spec-to-code pipeline; crates/sea-forge-cli/tests/conformance_m5.rs","high","Case formation composes with CJ11 because each planned transformation has its own maturity and settlement.","exercised"
"6.7","Bind environments, evaluators, and execution modes","CJ04","form_and_commit_governed_case","specialization","subject=plan item execution contract; provider=endpoint or evaluator; boundary=sandbox retention limits",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.7; .agents/specs/spec-full.md §7.6 EnvironmentSpec / Evaluator; crates/sea-forge-server/src/sfwp/delegation_preview.rs JobContractPreview; crates/sea-forge-server/tests/conformance_delegation_preview.rs","high","Binding execution dependencies is a specialized pre-commit case-formation step.","exercised"
"6.8","Preview the complete case before commitment","CJ04","form_and_commit_governed_case","specialization","state transition=draft to preflighted; evidence=criteria origins and boundaries; next decision=commit or revise",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.8; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method case.preflight; crates/sea-forge-server/tests/conformance_case_authoring.rs; workbench/apps/desktop/src/pages/CaseCreationWorkbench.test.tsx","high","Preflight is the reversible decision point before immutable commitment.","exercised"
"6.9","Commit the case immutably","CJ04","form_and_commit_governed_case","specialization","state transition=preflighted to committed; artifact=immutable plan and provenance; side effects=case records only",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §6.9; crates/sea-forge-server/src/sfwp/mod.rs method case.commit; crates/sea-forge-server/tests/conformance_case_authoring.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 2 committed denied case","high","Immutable case commitment is the canonical journey's completion condition before execution side effects.","evidenced"
"7.1","See case purpose and governing outcome","CJ05","navigate_and_adapt_live_case","canonical","actor=case owner; subject=live case purpose; next decision=lawful action",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.1; .agents/specs/spec-full.md §7.1 Extended entities; crates/sea-forge-server/src/sfwp/mod.rs method case.get_overview; crates/sea-forge-server/tests/conformance_case_views.rs; workbench/apps/desktop/src/router.tsx route /cases","high","This is the canonical orientation step for navigating an already committed case.","exercised"
"7.2","See stages, items, milestones, and sentries","CJ05","navigate_and_adapt_live_case","specialization","subject=case structure; work kind=human command projection transition agent; interface=horizon",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.2; .agents/specs/spec-full.md §7.1 Extended entities; crates/sea-forge-server/src/sfwp/case_views.rs CaseHorizon; crates/sea-forge-server/tests/conformance_case_views.rs","high","Structural inspection specializes live-case navigation by explaining the control graph.","exercised"
"7.3","See the current case horizon","CJ05","navigate_and_adapt_live_case","specialization","subject=spendable and blocked items; lifecycle stage=active waiting future settled; next decision=start or resolve",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.3; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method case.get_horizon; crates/sea-forge-server/src/sfwp/mod.rs method case.get_horizon; workbench/apps/desktop/src/pages/CaseHorizonPage.test.tsx","high","The horizon is the source-derived decision surface for what can happen now.","exercised"
"7.4","Understand every state transition","CJ05","navigate_and_adapt_live_case","composition","initiating condition=state change; evidence=sentry authority trace settlement; interface=timeline or run detail",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.4; .agents/specs/spec-full.md §9 Operational Flow and State Model; crates/sea-forge-server/src/sfwp/run_views.rs TraceRow; crates/sea-forge-server/tests/conformance_run_views.rs","high","Navigation composes with CJ09 because explaining a state transition requires its audit evidence.","exercised"
"7.5","Follow distinct run episodes","CJ05","navigate_and_adapt_live_case","specialization","subject=run episodes; recovery path=retry as successor; artifact=immutable attempt links",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.5; .agents/specs/spec-minimum.md §9 Operational Flow; crates/sea-forge-server/src/sfwp/mod.rs methods run.list and run.get; crates/sea-forge-server/tests/conformance_run_locator.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 5 and 8b","high","Episode identity specializes case navigation and guarantees that retries do not overwrite history.","evidenced"
"7.6","Add newly discovered work","CJ05","navigate_and_adapt_live_case","variant","initiating condition=newly discovered work; work source=discretionary proposal; state transition=new plan item appended",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.6; .agents/specs/spec-full.md §10.2 Case engine; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method case.add_discretionary_item; crates/sea-forge-cli/tests/conformance_m15.rs","high","Discretionary work is the adaptive mutation variant of navigating a live case.","exercised"
"7.7","Reopen, replan, or terminate deliberately","CJ05","navigate_and_adapt_live_case","variant","lifecycle action=reopen replan terminate; evidence=actor and reason; artifact=new version or event",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.7; .agents/specs/spec-full.md §9.3 Transition triggers; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml methods case.propose_replan case.reopen case.terminate; crates/sea-forge-case-runner/tests/conformance_m5.rs","high","These are deliberate lifecycle-control variants that append history rather than edit it.","exercised"
"7.8","Distinguish parked from failed","CJ05","navigate_and_adapt_live_case","variant","case standing=parked awaiting failed complete; initiating condition=no executable work; next decision=approve replan or stop",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §7.8; .agents/specs/spec-full.md §9.2 New/changed states; crates/sea-forge-server/src/sfwp/case_views.rs CaseSummary; crates/sea-forge-cli/tests/conformance_m15.rs","high","Standing variation must remain explicit because parked work retains a lawful continuation while failure does not imply one.","exercised"
"8.1","View one approval and human-task inbox","CJ06","resolve_human_judgment_and_approval","canonical","actor=approver or assignee; subject=pending human action; interface=shared inbox",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §8.1; .agents/specs/spec-full.md §7.2 ApprovalRequest; crates/sea-forge-server/src/sfwp/mod.rs method approval.list; workbench/apps/desktop/src/router.tsx route /inbox; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 8c and pending-inbox finding","high","The shared accountable decision queue is the clearest observed entry to the human-judgment journey.","evidenced"
"8.2","Inspect the full decision context","CJ06","resolve_human_judgment_and_approval","specialization","subject=approval request; evidence=actor action resource policy expiry impact; next decision=approve or reject",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §8.2; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method approval.get; crates/sea-forge-server/src/sfwp/approvals.rs ApprovalGovernanceContext; crates/sea-forge-server/tests/conformance_approvals.rs","high","Decision-context inspection is the evidentiary step before accountable judgment.","exercised"
"8.3","Approve or reject with evidence","CJ06","resolve_human_judgment_and_approval","specialization","authority outcome=approve or reject; evidence=note and actor; state transition=pending to decided",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §8.3; .agents/specs/spec-full.md §10.3 Operator loop; crates/sea-forge-server/src/sfwp/mod.rs method approval.decide; crates/sea-forge-server/tests/conformance_approvals.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6","high","This is the central durable decision transition inside CJ06.","evidenced"
"8.4","Enforce approval authority and separation of duty","CJ06","resolve_human_judgment_and_approval","specialization","actor eligibility=authorized and independent; authority outcome=allow or refuse decision; side effects=none on refusal",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §8.4; .agents/specs/spec-full.md §7.2.1 SettlementAuthority / SettlementDeclaration; crates/sea-forge-server/tests/conformance_identity.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6","high","Separation of duty constrains who may complete the human-judgment transition.","evidenced"
